record,gold,det,tp,fp,fn,gold_bpm,det_bpm,bpm_err
50,9,12,9,3,0,70.4225352112676,70.0,0.42253521126760063
51,8,11,8,3,0,69.44444444444444,83.0,13.555555555555557
52,9,11,8,3,1,65.14657980456026,66.0,0.8534201954397389
53,9,12,9,3,0,62.89308176100629,82.0,19.106918238993707
54,7,10,7,3,0,54.15162454873646,87.0,32.84837545126354
55,8,10,8,2,0,61.98347107438017,61.0,0.9834710743801693
56,10,12,10,2,0,73.34963325183375,73.0,0.34963325183375105
57,12,13,12,1,0,80.64516129032258,80.0,0.6451612903225765
58,9,11,9,2,0,62.30529595015577,62.0,0.3052959501557666
59,6,9,6,3,0,53.85996409335726,55.5,1.640035906642737
60,8,10,8,2,0,59.171597633136095,80.0,20.828402366863905
61,8,10,8,2,0,62.5,64.0,1.5
62,9,12,9,3,0,69.44444444444444,70.0,0.5555555555555571
63,10,13,10,3,0,71.77033492822967,81.0,9.229665071770327
64,9,11,9,2,0,66.3716814159292,67.0,0.6283185840707972
65,12,13,11,2,1,86.20689655172414,86.0,0.20689655172414234
66,6,9,6,3,0,48.54368932038835,83.0,34.45631067961165
67,7,10,7,3,0,56.92599620493358,58.0,1.0740037950664174
68,9,11,9,2,0,65.00541711809318,67.0,1.9945828819068225
69,11,13,10,3,1,78.53403141361257,78.0,0.534031413612567
70,13,14,13,1,0,89.82035928143712,89.0,0.8203592814371206
71,8,10,8,2,0,56.17977528089887,59.0,2.8202247191011267
72,8,10,8,2,0,60.0,60.0,0.0
73,8,11,8,3,0,58.8235294117647,67.0,8.176470588235297
74,9,10,8,2,1,59.820538384845456,66.0,6.179461615154544
75,9,11,9,2,0,62.17616580310881,62.0,0.17616580310880892
76,11,12,11,1,0,75.0,75.0,0.0
77,10,12,10,2,0,74.62686567164178,75.0,0.37313432835821914
78,8,10,7,3,1,61.98347107438017,63.0,1.0165289256198307
79,8,10,8,2,0,56.92599620493358,58.0,1.0740037950664174
80,11,12,10,2,1,74.53416149068323,75.0,0.46583850931676807
81,11,12,11,1,0,78.63695937090432,79.0,0.36304062909567847
82,7,10,7,3,0,51.99306759098787,53.0,1.0069324090121299
83,10,11,9,2,1,63.829787234042556,64.0,0.1702127659574444
84,8,10,8,2,0,60.0,60.0,0.0
85,10,12,10,2,0,75.75757575757575,75.0,0.7575757575757507
86,12,14,11,3,1,88.75739644970413,88.0,0.7573964497041317
87,12,14,11,3,1,88.23529411764706,90.0,1.764705882352942
88,12,14,11,3,1,94.6372239747634,96.0,1.3627760252365988
89,10,13,10,3,0,70.92198581560284,75.0,4.078014184397162
90,8,10,8,2,0,59.7609561752988,60.0,0.23904382470119856
91,11,13,11,2,0,80.75370121130553,82.0,1.2462987886944745
92,14,15,14,1,0,98.6842105263158,97.0,1.6842105263157947
93,8,11,7,4,1,60.24096385542169,60.0,0.24096385542168974
94,10,13,10,3,0,75.94936708860759,79.0,3.0506329113924124
95,9,11,9,2,0,60.72874493927126,69.0,8.271255060728741
96,12,13,11,2,1,89.55223880597015,88.0,1.5522388059701484
97,8,10,8,2,0,60.60606060606061,61.0,0.3939393939393909
98,8,10,8,2,0,61.34969325153374,63.0,1.6503067484662566
99,12,13,12,1,0,83.33333333333334,85.0,1.6666666666666572
100,9,11,9,2,0,67.49156355455568,68.0,0.5084364454443175
101,11,13,11,2,0,84.98583569405099,85.0,0.014164305949009304
102,9,12,9,3,0,65.57377049180327,66.0,0.42622950819672667
103,14,15,13,2,1,93.16770186335404,95.0,1.83229813664596
104,9,12,9,3,0,65.00541711809318,67.0,1.9945828819068225
105,11,11,8,3,3,66.3716814159292,74.0,7.628318584070797
106,12,14,12,2,0,84.74576271186442,86.0,1.2542372881355845
107,8,10,8,2,0,60.851926977687626,63.0,2.1480730223123743
108,11,13,11,2,0,79.05138339920948,82.0,2.9486166007905155
109,15,12,10,2,5,87.46355685131196,75.0,12.463556851311964
110,13,9,8,1,5,89.95502248875562,107.0,17.044977511244383
111,8,11,8,3,0,59.880239520958085,63.0,3.119760479041915
112,14,14,13,1,1,104.16666666666667,105.0,0.8333333333333286
113,8,11,8,3,0,58.93909626719057,60.0,1.0609037328094288
114,13,14,12,2,1,90.9090909090909,91.0,0.09090909090909349
115,7,10,7,3,0,55.401662049861486,58.0,2.5983379501385144
116,13,15,10,5,3,90.36144578313252,91.0,0.638554216867476
117,13,15,13,2,0,91.1854103343465,96.0,4.8145896656535
118,8,10,8,2,0,65.78947368421052,65.0,0.7894736842105203
119,8,10,8,2,0,60.72874493927126,63.0,2.271255060728741
120,8,11,8,3,0,58.252427184466015,59.0,0.7475728155339851
121,15,15,15,0,0,97.0873786407767,96.0,1.0873786407767057
122,8,10,8,2,0,59.171597633136095,67.0,7.828402366863905
123,9,11,9,2,0,66.29834254143647,68.0,1.7016574585635311
124,7,10,7,3,0,56.497175141242934,63.0,6.502824858757066
125,7,8,6,2,1,50.041701417848216,50.0,0.04170141784821624
126,9,11,9,2,0,69.44444444444444,69.0,0.44444444444444287
127,4,7,4,3,0,40.053404539385845,41.0,0.9465954606141551
128,7,10,7,3,0,53.144375553587246,80.0,26.855624446412754
129,8,10,8,2,0,60.36217303822938,77.0,16.63782696177062
130,7,10,6,4,1,56.60377358490566,59.0,2.3962264150943398
131,8,10,8,2,0,65.359477124183,65.0,0.3594771241830017
132,8,10,8,2,0,51.369863013698634,67.0,15.630136986301366
133,7,8,7,1,0,50.63291139240506,52.0,1.3670886075949369
134,6,9,6,3,0,50.0,56.0,6.0
135,9,12,8,4,1,67.72009029345372,79.0,11.279909706546277
136,13,14,13,1,0,86.33093525179856,86.0,0.3309352517985644
137,9,12,9,3,0,64.37768240343347,66.0,1.622317596566532
138,8,10,7,3,1,60.851926977687626,63.0,2.1480730223123743
139,10,12,10,2,0,74.07407407407408,72.0,2.074074074074076
140,11,13,11,2,0,77.51937984496124,78.0,0.4806201550387641
141,8,10,8,2,0,61.601642710472284,62.0,0.3983572895277163
142,10,12,10,2,0,74.44168734491315,80.0,5.558312655086851
143,12,13,10,3,2,82.87292817679558,84.0,1.1270718232044175
144,9,11,9,2,0,65.14657980456026,67.0,1.853420195439739
145,9,11,9,2,0,65.0759219088937,67.0,1.9240780911062956
146,8,10,8,2,0,57.36137667304015,58.0,0.638623326959852
147,8,10,7,3,1,60.0,63.0,3.0
148,10,12,10,2,0,69.44444444444444,70.0,0.5555555555555571
149,9,11,9,2,0,68.72852233676976,68.0,0.7285223367697569
150,8,11,8,3,0,62.11180124223603,63.0,0.8881987577639734
151,10,12,10,2,0,73.34963325183375,75.0,1.650366748166249
152,9,11,8,3,1,66.3716814159292,68.0,1.6283185840707972
153,8,10,8,2,0,57.36137667304015,57.0,0.361376673040148
154,9,12,9,3,0,69.12442396313364,69.0,0.12442396313363702
155,8,10,8,2,0,60.60606060606061,61.0,0.3939393939393909
156,7,9,7,2,0,57.088487155090384,56.0,1.0884871550903839
157,7,10,7,3,0,54.24954792043399,57.0,2.75045207956601
158,8,10,8,2,0,67.87330316742081,63.0,4.873303167420815
159,9,11,9,2,0,66.88963210702342,67.0,0.11036789297658345
160,5,8,5,3,0,43.57298474945534,51.0,7.427015250544663
161,8,11,8,3,0,65.21739130434783,68.0,2.782608695652172
162,10,12,10,2,0,70.58823529411765,75.0,4.411764705882348
163,10,13,10,3,0,74.44168734491315,78.0,3.5583126550868514
164,9,11,9,2,0,65.71741511500548,66.0,0.2825848849945203
165,9,12,9,3,0,71.00591715976331,71.0,0.005917159763313862
166,8,10,8,2,0,63.69426751592357,63.0,0.6942675159235705
167,9,11,9,2,0,65.86169045005488,69.0,3.13830954994512
168,8,11,8,3,0,62.11180124223603,67.0,4.888198757763973
169,7,10,7,3,0,53.66726296958855,56.0,2.332737030411451
170,7,9,6,3,1,51.90311418685121,59.0,7.096885813148788
171,9,12,9,3,0,67.11409395973155,69.0,1.885906040268452
172,7,9,7,2,0,52.631578947368425,53.0,0.3684210526315752
173,12,11,10,1,2,82.41758241758242,78.0,4.417582417582423
174,8,10,8,2,0,59.7609561752988,66.0,6.239043824701199
175,9,11,9,2,0,65.50218340611353,66.0,0.49781659388646915
176,8,11,8,3,0,62.89308176100629,72.0,9.106918238993707
177,11,13,11,2,0,74.62686567164178,78.0,3.373134328358219
178,12,14,12,2,0,79.36507936507937,93.0,13.634920634920633
179,8,10,8,2,0,63.55932203389831,60.0,3.5593220338983116
180,10,12,10,2,0,73.34963325183375,73.0,0.34963325183375105
181,8,10,8,2,0,62.761506276150634,62.0,0.7615062761506337
182,12,14,12,2,0,86.45533141210375,87.0,0.544668587896254
183,11,13,10,3,1,78.53403141361257,79.0,0.465968586387433
184,9,10,7,3,2,71.25890736342042,68.0,3.2589073634204198
185,13,15,13,2,0,92.02453987730061,93.0,0.9754601226993884
186,11,12,11,1,0,74.81296758104737,74.0,0.8129675810473742
187,9,12,9,3,0,64.58557588805166,70.0,5.414424111948335
188,14,15,14,1,0,91.46341463414633,93.0,1.536585365853668
189,8,9,7,2,1,53.19148936170213,57.0,3.808510638297868
190,12,13,12,1,0,85.47008547008548,86.0,0.5299145299145209
191,8,11,8,3,0,61.47540983606557,65.0,3.524590163934427
192,8,13,8,5,0,61.09979633401222,93.0,31.90020366598778
193,9,11,9,2,0,62.82722513089006,64.0,1.1727748691099436
194,8,10,7,3,1,58.47953216374269,63.0,4.5204678362573105
195,9,11,8,3,1,67.0391061452514,72.0,4.960893854748605
196,10,12,10,2,0,75.18796992481202,75.0,0.18796992481202324
197,11,12,10,2,1,80.4289544235925,81.0,0.5710455764074993
198,8,10,8,2,0,60.24096385542169,63.0,2.7590361445783103
199,8,10,8,2,0,56.81818181818181,65.0,8.181818181818187
200,9,11,9,2,0,63.02521008403362,64.0,0.9747899159663831
