record,idx,peak_val,width,rise_fall,rr_prev_ms,beat_count,sqi,motion,bpm,tp,nearest_gold_ms,nearest_gold_abs_ms
11,832,20989.133694756085,24,21.0,1046.0,3,0.9838555657909899,0,0,True,100.0,100.0
11,1328,17756.41493244384,12,9.0,992.0,4,0.9770312066679259,0,0,True,74.0,74.0
11,1837,17427.854232715796,12,9.0,1018.0,5,0.9756395381953353,0,0,True,74.0,74.0
11,2353,17520.593543715513,24,21.0,1032.0,6,0.9713105050590569,0,0,True,100.0,100.0
11,2850,16551.910939139903,24,21.0,994.0,7,0.9725676899362107,0,0,True,100.0,100.0
11,3330,12989.138199347868,12,9.0,960.0,8,0.9731941579008704,0,0,True,74.0,74.0
11,3825,17613.387190677822,12,9.0,990.0,9,0.9713378933472596,0,0,True,74.0,74.0
11,4300,3869.4019967413806,9,6.0,950.0,10,0.9708682373697786,0,0,True,40.0,40.0
11,4793,2902.901215719341,9,6.0,986.0,11,0.9696771156683945,0,0,False,1026.0,1026.0
12,51,1878.495869911006,31,28.0,0.0,1,0.4393114895774276,0,0,False,-1466.0,1466.0
12,303,4524.64082150875,24,21.0,504.0,2,0.9914232767293379,0,0,False,-962.0,962.0
12,762,259.2093757878341,14,11.0,918.0,3,0.982517449251707,0,0,True,-44.0,44.0
12,1016,278.1389029819506,72,69.0,508.0,4,0.977826119918847,0,0,False,464.0,464.0
12,1316,232.98667667872655,12,9.0,600.0,5,0.9754530867321706,0,0,True,-48.0,48.0
12,1867,315.52008137274936,15,12.0,1102.0,6,0.9630950273905748,0,0,True,-36.0,36.0
12,2454,221.38583358493173,16,13.0,1174.0,7,0.962272052072359,0,0,True,-40.0,40.0
12,2707,230.87502814450005,77,74.0,506.0,8,0.95823667394688,0,0,False,466.0,466.0
12,3035,331.65352674392227,14,11.0,656.0,9,0.9621075165991754,0,0,True,-42.0,42.0
12,3615,251.2248162189175,14,11.0,1160.0,10,0.9601575775167053,0,0,True,-42.0,42.0
12,3865,284.15132379556627,77,74.0,500.0,11,0.9556332945290841,0,0,False,458.0,458.0
12,4187,275.33886123446825,14,11.0,644.0,12,0.9624064727204409,0,0,True,-38.0,38.0
12,4437,247.4081480469818,72,69.0,500.0,13,0.9588454457140001,0,0,False,462.0,462.0
12,4737,244.31502409731578,13,10.0,600.0,14,0.9608519526777228,0,0,False,1062.0,1062.0
12,4995,202.26098355754138,75,72.0,516.0,15,0.9569511413463501,0,0,False,1578.0,1578.0
13,52,642.8118665517418,29,26.0,0.0,1,0.4390850455333388,0,0,False,-1742.0,1742.0
13,304,14.525301907029174,22,19.0,504.0,2,0.9999952698738082,0,0,False,-1238.0,1238.0
13,592,32.92505783212517,30,27.0,576.0,3,0.9999999383122629,0,0,False,-662.0,662.0
13,969,25307.01979250379,30,27.0,754.0,4,0.987049249822897,0,0,True,92.0,92.0
13,1446,14203.232393189217,13,10.0,954.0,5,0.9880426579131419,0,0,True,42.0,42.0
13,1984,30885.588447226473,30,27.0,1076.0,6,0.9846700694119077,0,0,True,88.0,88.0
13,2495,26098.61736764234,31,28.0,1022.0,7,0.9870960654123657,0,0,True,90.0,90.0
13,3005,33086.89246927653,30,27.0,1020.0,8,0.9873621470236947,0,0,True,90.0,90.0
13,3521,27648.397929378774,29,26.0,1032.0,9,0.9905391464139597,0,0,True,92.0,92.0
13,4028,28531.503559317644,23,20.0,1014.0,10,0.9919943065549702,0,0,True,90.0,90.0
13,4545,29668.086147425365,22,19.0,1034.0,11,0.9925859177158648,0,0,False,1124.0,1124.0
14,52,31.814764718081243,32,29.0,0.0,1,0.4390850455333388,0,0,False,-944.0,944.0
14,330,80.9487943300498,30,27.0,556.0,2,0.9999995157921012,0,0,False,-388.0,388.0
14,586,26217.737712952814,38,35.0,512.0,3,0.9983881155547797,0,0,True,124.0,124.0
14,928,32294.681481139676,17,14.0,684.0,4,0.9977627147845739,0,0,True,84.0,84.0
14,1291,31775.45492392865,16,13.0,726.0,5,0.9966776841742981,0,0,True,84.0,84.0
14,1650,30887.2833539245,16,13.0,718.0,6,0.9968929181993116,0,0,True,84.0,84.0
14,2014,30154.555477149814,16,13.0,728.0,7,0.9968578168501516,0,0,True,84.0,84.0
14,2370,31717.363446589316,16,13.0,712.0,8,0.9969429399905261,0,0,True,82.0,82.0
14,2724,33109.320282754525,16,13.0,708.0,9,0.9969792726942703,0,0,True,84.0,84.0
14,3058,8621.865809194596,10,7.0,668.0,10,0.9969908745189086,0,0,True,40.0,40.0
14,3422,8854.554434837552,10,7.0,728.0,11,0.996630525750556,0,0,True,40.0,40.0
14,3804,35603.76477411557,16,13.0,764.0,12,0.9958367238419584,0,0,True,82.0,82.0
14,4162,33011.90887119319,16,13.0,716.0,13,0.9962811759310878,0,0,True,82.0,82.0
14,4514,31381.20120565087,16,13.0,704.0,14,0.9964240928290826,0,0,True,82.0,82.0
14,4856,30964.890631653987,17,14.0,684.0,15,0.9965324093050968,0,0,False,766.0,766.0
15,65,155.3983726438445,31,28.0,0.0,1,0.43699123058508843,0,0,False,-1580.0,1580.0
15,320,537.1641141069158,33,30.0,510.0,2,0.9943824518020855,0,0,False,-1070.0,1070.0
15,774,74.46152500709327,13,10.0,908.0,3,0.9812045510212353,0,0,False,-162.0,162.0
15,1270,390.13215742816243,14,11.0,992.0,4,0.9952005720007997,0,0,True,-118.0,118.0
15,1805,4397.047255382773,9,6.0,1070.0,5,0.9772657113701516,0,0,True,42.0,42.0
15,2311,8741.40561976517,13,10.0,1012.0,6,0.9730780693345051,0,0,True,72.0,72.0
15,2776,11608.338174303895,13,10.0,930.0,7,0.9670128742799513,0,0,True,74.0,74.0
15,3220,4533.961669692572,9,6.0,888.0,8,0.9689930049122522,0,0,True,42.0,42.0
15,3700,11885.203193401601,12,9.0,960.0,9,0.9645094853625711,0,0,True,72.0,72.0
15,4199,8540.827886876727,13,10.0,998.0,10,0.9685535736106146,0,0,True,72.0,72.0
15,4652,5193.516146524597,9,6.0,906.0,11,0.9699142089522877,0,0,False,978.0,978.0
16,53,54.875625525056385,19,16.0,0.0,1,0.43886992369145444,0,0,False,-1158.0,1158.0
16,307,2590.300795566436,76,73.0,508.0,2,0.9999982886757024,0,0,False,-650.0,650.0
16,651,7008.09666602029,9,6.0,688.0,3,0.9911510130421312,0,0,True,38.0,38.0
16,1085,25035.80160502092,15,12.0,868.0,4,0.9818676968791964,0,0,True,78.0,78.0
16,1521,25132.82590354578,16,13.0,872.0,5,0.9699655374466611,0,0,True,80.0,80.0
16,1909,7472.957359488736,9,6.0,776.0,6,0.96627094769473,0,0,True,38.0,38.0
16,2340,23272.2229487688,15,12.0,862.0,7,0.9604276254771025,0,0,True,76.0,76.0
16,2706,6024.428688232298,9,6.0,732.0,8,0.958983376686915,0,0,True,36.0,36.0
16,3123,23088.653530231506,14,11.0,834.0,9,0.9535698156532948,0,0,True,76.0,76.0
16,3514,4624.436913594791,10,7.0,782.0,10,0.9547295734642399,0,0,True,38.0,38.0
16,3945,21222.440565106885,16,13.0,862.0,11,0.9539166623801255,0,0,True,82.0,82.0
16,4335,6397.821346089903,10,7.0,780.0,12,0.9563907465149749,0,0,True,38.0,38.0
16,4757,5925.615796557708,9,6.0,844.0,13,0.9555792479940556,0,0,False,882.0,882.0
17,52,3985.6087808579023,19,16.0,0.0,1,0.4390850455333388,0,0,False,-1452.0,1452.0
17,295,443.91136945264145,14,11.0,486.0,2,0.9999973204582132,0,0,False,-966.0,966.0
17,544,2309.4932014193264,25,22.0,498.0,3,0.9999999162241084,0,0,False,-468.0,468.0
17,798,4511.162019519297,10,7.0,508.0,4,0.9787417284110665,0,0,True,40.0,40.0
17,1214,5064.607686022929,10,7.0,832.0,5,0.9437898015387804,0,0,True,42.0,42.0
17,1638,2460.2407367171654,9,6.0,848.0,6,0.928420987263924,0,0,True,40.0,40.0
17,2048,955.6917510979513,13,10.0,820.0,7,0.916690884452486,0,0,True,10.0,10.0
17,2507,2834.734606393426,11,8.0,918.0,8,0.9017201196030369,0,0,True,46.0,46.0
17,2937,4545.788079701282,25,22.0,860.0,9,0.8983921241795629,0,0,True,86.0,86.0
17,3243,1236.7699922912382,16,13.0,612.0,10,0.9005521361258572,0,0,True,-142.0,142.0
17,3492,1778.30391989341,28,25.0,498.0,11,0.9151511991197876,0,0,False,356.0,356.0
17,3752,3107.1565274551476,11,8.0,520.0,12,0.9068813299880186,0,0,True,48.0,48.0
17,4153,2494.578881424728,10,7.0,802.0,13,0.9001123570045007,0,0,True,42.0,42.0
17,4553,2503.9674393719515,10,7.0,800.0,14,0.8839937575602788,0,0,True,50.0,50.0
17,4949,2458.895559707295,11,8.0,792.0,15,0.8729283627295364,0,0,False,842.0,842.0
18,53,3735.2070476397994,25,22.0,0.0,1,0.43886992369145444,0,0,False,-1438.0,1438.0
18,373,262.43589051969167,22,19.0,640.0,2,0.992680432284942,0,0,False,-798.0,798.0
18,759,309.0824580786169,21,18.0,772.0,3,0.9828694090861518,0,0,True,-26.0,26.0
18,1138,260.2331362393736,22,19.0,758.0,4,0.9773909212099977,0,0,True,-24.0,24.0
18,1517,189.77305788157415,28,25.0,758.0,5,0.9710402256760006,0,0,True,-26.0,26.0
18,1951,45488.05031206518,16,13.0,868.0,6,0.9677928408791086,0,0,True,86.0,86.0
18,2306,13021.150800838946,11,8.0,710.0,7,0.9952538217339633,0,0,True,42.0,42.0
18,2687,11684.867348217149,10,7.0,762.0,8,0.9941103620278845,0,0,True,42.0,42.0
18,3067,12432.095549218513,10,7.0,760.0,9,0.9926662315509747,0,0,True,40.0,40.0
18,3467,47691.06800713823,16,13.0,800.0,10,0.9913871190030248,0,0,True,86.0,86.0
18,3823,12313.338675655865,10,7.0,712.0,11,0.9941185522105201,0,0,True,42.0,42.0
18,4203,11935.752889236679,10,7.0,760.0,12,0.9938808177363999,0,0,True,40.0,40.0
18,4582,13196.85311940808,11,8.0,758.0,13,0.9940699483573164,0,0,True,42.0,42.0
18,4961,13473.599802643157,10,7.0,758.0,14,0.9940422202351921,0,0,False,800.0,800.0
19,54,765.6573946089891,22,19.0,0.0,1,0.4386655579416643,0,0,False,-1692.0,1692.0
19,364,71.50535460097238,14,11.0,620.0,2,0.976318656447631,0,0,False,-1072.0,1072.0
19,652,62.112698954933954,120,118.0,576.0,3,0.9964153273290487,0,0,False,-496.0,496.0
19,918,8253.45428775301,11,8.0,532.0,4,0.9856935317490386,0,0,True,36.0,36.0
19,1433,40906.4426770464,15,12.0,1030.0,5,0.9843230248311196,0,0,True,80.0,80.0
19,1908,7396.551177180986,11,8.0,950.0,6,0.9876900753797955,0,0,True,36.0,36.0
19,2434,36185.14416028521,14,11.0,1052.0,7,0.9850011506821768,0,0,True,78.0,78.0
19,2909,6699.610420405008,10,7.0,950.0,8,0.9899349355893715,0,0,True,36.0,36.0
19,3416,34536.67471994391,15,12.0,1014.0,9,0.9896459905871242,0,0,True,82.0,82.0
19,3874,6774.546278052381,11,8.0,916.0,10,0.9915027799383872,0,0,True,36.0,36.0
19,4380,35366.666719380795,15,12.0,1012.0,11,0.9908423456193337,0,0,True,80.0,80.0
19,4875,36784.14145068789,15,12.0,990.0,12,0.9926532136583676,0,0,False,1070.0,1070.0
20,52,154.19926262293546,24,21.0,0.0,1,0.4390850455333388,0,0,False,-1740.0,1740.0
20,374,10.629506790741384,20,17.0,644.0,2,0.985370524147685,0,0,False,-1096.0,1096.0
20,635,82.81020888088153,19,16.0,522.0,3,0.9999464232077728,0,0,False,-574.0,574.0
20,962,42408.765524701754,15,12.0,654.0,4,0.9985594850281282,0,0,True,80.0,80.0
20,1428,42051.90934434519,14,11.0,932.0,5,0.9974989772292331,0,0,True,76.0,76.0
20,1901,40586.33718153247,15,12.0,946.0,6,0.9972533000769971,0,0,True,78.0,78.0
20,2367,39628.53514194059,14,11.0,932.0,7,0.9974107248250599,0,0,True,78.0,78.0
20,2808,7627.5754635587655,11,8.0,882.0,8,0.9974423642138477,0,0,True,38.0,38.0
20,3283,44417.715286014376,15,12.0,950.0,9,0.9969393502176228,0,0,True,78.0,78.0
20,3734,41946.60953686553,15,12.0,902.0,10,0.9971437508846691,0,0,True,78.0,78.0
20,4197,39636.13667379714,15,12.0,926.0,11,0.9974142661743336,0,0,True,80.0,80.0
20,4641,7456.860256072272,11,8.0,888.0,12,0.9976626426607452,0,0,False,968.0,968.0
21,45,5.29421839901193,14,11.0,0.0,1,0.44094358113941706,0,0,False,-1030.0,1030.0
21,314,6.961895916652374,19,16.0,538.0,2,0.9999991673120048,0,0,False,-492.0,492.0
21,579,2547.9341920692223,9,6.0,530.0,3,0.9915615684653547,0,0,True,38.0,38.0
21,1010,14667.030690927782,12,9.0,862.0,4,0.9820925715347179,0,0,True,72.0,72.0
21,1407,2115.656002793146,8,5.0,794.0,5,0.9821989088065665,0,0,True,36.0,36.0
21,1823,2304.0019158608993,9,6.0,832.0,6,0.9794010836618587,0,0,True,38.0,38.0
21,2264,19633.153281281768,25,22.0,882.0,7,0.9765893151063061,0,0,True,102.0,102.0
21,2644,2263.7123646183823,9,6.0,760.0,8,0.9809264207892152,0,0,True,34.0,34.0
21,3054,2168.4307223917717,9,6.0,820.0,9,0.9789560833724661,0,0,True,38.0,38.0
21,3462,2572.22450028861,9,6.0,816.0,10,0.9786067853880257,0,0,True,38.0,38.0
21,3874,2356.3151815629453,8,5.0,824.0,11,0.9778169776372648,0,0,True,38.0,38.0
21,4282,2203.263443947582,8,5.0,816.0,12,0.9756986846777249,0,0,True,36.0,36.0
21,4689,2478.250047667564,9,6.0,814.0,13,0.9753939755986091,0,0,False,850.0,850.0
22,51,4996.597575322579,10,7.0,0.0,1,0.4393114895774276,0,0,False,-802.0,802.0
22,407,473.005253052712,14,11.0,712.0,2,0.9954679340607202,0,0,True,-90.0,90.0
22,883,22909.215178468636,12,9.0,952.0,3,0.9734033209718745,0,0,True,76.0,76.0
22,1280,21850.32922735717,12,9.0,794.0,4,0.9697604666416634,0,0,True,76.0,76.0
22,1630,24060.954209084834,25,22.0,700.0,5,0.9649231978546159,0,0,True,102.0,102.0
22,2065,23475.224552343472,25,22.0,870.0,6,0.968665078520947,0,0,True,102.0,102.0
22,2425,20372.6953005168,25,22.0,720.0,7,0.9686342065846337,0,0,True,102.0,102.0
22,2830,20753.51838592723,24,21.0,810.0,8,0.9697453406480976,0,0,True,100.0,100.0
22,3220,26170.501040287356,25,22.0,780.0,9,0.9693547060716021,0,0,True,102.0,102.0
22,3638,23308.40901259957,25,22.0,836.0,10,0.9690828351631122,0,0,True,102.0,102.0
22,3995,18649.587643173418,12,9.0,714.0,11,0.9683310227612715,0,0,True,76.0,76.0
22,4426,20732.821875541,25,22.0,862.0,12,0.9654591337637675,0,0,True,104.0,104.0
22,4780,23654.774166656258,24,21.0,708.0,13,0.967180327779705,0,0,False,812.0,812.0
23,50,5.565192127054545,32,29.0,0.0,1,0.43954985172910005,0,0,False,-1340.0,1340.0
23,302,9494.176572288136,71,68.0,504.0,2,0.999998192585236,0,0,False,-836.0,836.0
23,738,2845.5835778775145,11,8.0,872.0,3,0.985176111084983,0,0,True,36.0,36.0
23,1252,2615.9270408000866,10,7.0,1028.0,4,0.97033404233511,0,0,True,34.0,34.0
23,1765,1828.8227670762121,11,8.0,1026.0,5,0.9588740381543809,0,0,True,36.0,36.0
23,2264,1128.5530542933593,11,8.0,998.0,6,0.9513354093794568,0,0,True,36.0,36.0
