record,gold,det,tp,fp,fn,gold_bpm,det_bpm,bpm_err
139,10,13,10,3,0,74.07407407407408,72.0,2.074074074074076
140,11,14,11,3,0,77.51937984496124,80.0,2.480620155038764
141,8,11,8,3,0,61.601642710472284,66.0,4.398357289527716
142,10,13,10,3,0,74.44168734491315,76.0,1.5583126550868514
143,12,14,11,3,1,82.87292817679558,83.0,0.12707182320441746
144,9,12,9,3,0,65.14657980456026,67.0,1.853420195439739
145,9,12,9,3,0,65.0759219088937,68.0,2.9240780911062956
146,8,10,8,2,0,57.36137667304015,53.0,4.361376673040148
147,8,11,8,3,0,60.0,62.0,2.0
148,10,13,10,3,0,69.44444444444444,71.0,1.5555555555555571
149,9,12,9,3,0,68.72852233676976,70.0,1.2714776632302431
150,8,12,8,4,0,62.11180124223603,71.0,8.888198757763973
151,10,13,10,3,0,73.34963325183375,75.0,1.650366748166249
152,9,11,9,2,0,66.3716814159292,66.0,0.3716814159292028
153,8,11,8,3,0,57.36137667304015,60.0,2.638623326959852
154,9,13,9,4,0,69.12442396313364,70.0,0.875576036866363
155,8,11,8,3,0,60.60606060606061,65.0,4.393939393939391
156,7,10,7,3,0,57.088487155090384,57.0,0.08848715509038385
157,7,11,7,4,0,54.24954792043399,69.0,14.75045207956601
158,8,11,8,3,0,67.87330316742081,72.0,4.126696832579185
159,9,12,9,3,0,66.88963210702342,68.0,1.1103678929765834
160,5,14,5,9,0,43.57298474945534,111.0,67.42701525054466
161,8,12,8,4,0,65.21739130434783,66.0,0.7826086956521721
162,10,13,10,3,0,70.58823529411765,72.0,1.411764705882348
163,10,13,10,3,0,74.44168734491315,74.0,0.44168734491314865
164,9,13,9,4,0,65.71741511500548,111.0,45.28258488499452
165,9,13,9,4,0,71.00591715976331,75.0,3.994082840236686
166,8,11,8,3,0,63.69426751592357,62.0,1.6942675159235705
167,9,12,9,3,0,65.86169045005488,71.0,5.13830954994512
168,8,17,8,9,0,62.11180124223603,117.0,54.88819875776397
169,7,11,7,4,0,53.66726296958855,76.0,22.33273703041145
170,7,11,7,4,0,51.90311418685121,85.0,33.09688581314879
171,9,12,9,3,0,67.11409395973155,68.0,0.885906040268452
172,7,10,7,3,0,52.631578947368425,53.0,0.3684210526315752
173,12,14,10,4,2,82.41758241758242,93.0,10.582417582417577
174,8,13,8,5,0,59.7609561752988,114.0,54.2390438247012
175,9,12,9,3,0,65.50218340611353,67.0,1.4978165938864691
176,8,11,8,3,0,62.89308176100629,68.0,5.106918238993707
177,11,14,11,3,0,74.62686567164178,78.0,3.373134328358219
178,12,14,12,2,0,79.36507936507937,92.0,12.634920634920633
179,8,11,8,3,0,63.55932203389831,64.0,0.4406779661016884
180,10,13,10,3,0,73.34963325183375,75.0,1.650366748166249
181,8,12,8,4,0,62.761506276150634,74.0,11.238493723849366
182,12,15,12,3,0,86.45533141210375,86.0,0.45533141210374595
183,11,14,11,3,0,78.53403141361257,79.0,0.465968586387433
184,9,12,9,3,0,71.25890736342042,86.0,14.74109263657958
185,13,16,13,3,0,92.02453987730061,94.0,1.9754601226993884
186,11,13,11,2,0,74.81296758104737,75.0,0.1870324189526258
187,9,13,9,4,0,64.58557588805166,78.0,13.414424111948335
188,14,17,12,5,2,91.46341463414633,104.0,12.536585365853668
189,8,10,8,2,0,53.19148936170213,60.0,6.808510638297868
190,12,15,12,3,0,85.47008547008548,81.0,4.470085470085479
191,8,16,8,8,0,61.47540983606557,117.0,55.52459016393443
192,8,19,8,11,0,61.09979633401222,123.0,61.90020366598778
193,9,12,9,3,0,62.82722513089006,63.0,0.17277486910994355
194,8,11,8,3,0,58.47953216374269,63.0,4.5204678362573105
195,9,12,9,3,0,67.0391061452514,72.0,4.960893854748605
196,10,14,10,4,0,75.18796992481202,98.0,22.812030075187977
197,11,14,11,3,0,80.4289544235925,89.0,8.5710455764075
198,8,11,8,3,0,60.24096385542169,65.0,4.75903614457831
199,8,11,8,3,0,56.81818181818181,61.0,4.181818181818187
200,9,12,9,3,0,63.02521008403362,64.0,0.9747899159663831
